county,cancer_avg_cost,avg_income,cancer_cost_ratio,poverty_5y,Unemployment,numbers_hospitals,population_2019,under5,under18,over65,female,percent_uninsured,poverty,above_avg_cancer_ratio,above_avg_income,%smoker,percent_smokers,%obesity,percent_adult_obesity,% drinkers,percent_excessive_drinkers,% unemployment,percent_unemployment_2020
Hickman County,22996,44452,0.517322055,0.229146391,0.074232899,1,25178,5.4,20.6,17.9,47.5,13.5,16.3,TRUE,FALSE,23.18079,0.23180795,32.10,0.32,14.2653,0.142652711,3.2,0.032078853
Houston County,25909,43913,0.590007515,0.209000006,0.074197456,1,8201,5.2,21.1,20.8,50.7,12.7,16.7,TRUE,FALSE,22.44569,0.22445692,27.20,0.27,13.6424,0.136424391,5.5,0.055245189
Humphreys County,20651,48709,0.423966823,0.184814796,0.080099963,1,18582,5.6,21.5,20.2,50.1,12.8,13.6,FALSE,TRUE,20.54988,0.205498808,35.20,0.35,14.3832,0.143832227,4.3,0.043004652
Jackson County,18432,38458,0.479276093,0.250088215,0.106431156,0,11786,4.6,17.8,22.9,50,14.1,19.8,TRUE,FALSE,23.83651,0.238365075,33.80,0.34,12.2312,0.122312136,4.7,0.047153412
Jefferson County,18316,46568,0.393317299,0.152194038,0.077638768,1,54495,4.8,19.2,20.4,50.7,12.5,13.8,FALSE,FALSE,20.48050,0.204805036,36.70,0.37,13.7521,0.137520906,3.8,0.038194011
Johnson County,24647,40696,0.605636918,0.269326836,0.066459827,1,17788,4.3,16.9,23.3,46.3,13.2,20.7,TRUE,FALSE,23.25134,0.232513351,27.50,0.28,13.1619,0.131618895,3.5,0.034546171
Knox County,18065,70189,0.257376512,0.161873937,0.062080394,8,470313,5.7,20.9,16.2,51.4,10.3,13.2,FALSE,TRUE,19.71366,0.197136562,30.70,0.31,16.5266,0.165265811,2.9,0.029362507
Lake County,18597,36437,0.510387793,0.292244047,0.122350678,0,7016,4.1,14.3,16.7,37.2,11.6,36.5,TRUE,FALSE,28.07896,0.280789587,37.40,0.37,14.0472,0.140471712,5.2,0.051552106
Lauderdale County,21746,37928,0.573349504,0.247174382,0.11418853,1,25633,5.8,22.1,16.3,48.1,12.6,24.9,TRUE,FALSE,25.46143,0.254614331,44.60,0.45,11.9692,0.119692136,5.8,0.057594345
Lawrence County,19633,43646,0.449823581,0.194794938,0.087706648,1,44142,6.7,24.9,17.9,50.7,12.4,17.7,TRUE,FALSE,22.58084,0.225808377,33.30,0.33,14.0222,0.140221888,4.0,0.040362663
Lewis County,19793,41469,0.477296294,0.203934982,0.047935825,0,12268,5.7,21.9,21.3,51.1,13.1,17.5,TRUE,FALSE,22.56421,0.225642097,41.70,0.42,14.0591,0.140590665,4.4,0.044361199
Lincoln County,19168,48827,0.392569685,0.185197502,0.076943345,1,34366,5.7,22.3,19.7,51.1,12.3,14.4,FALSE,TRUE,21.74692,0.217469235,36.70,0.37,13.5581,0.135581236,3.1,0.030838615
Loudon County,16617,64483,0.257695827,0.134857208,0.075034998,1,54068,4.9,19.1,26.9,50.7,13.1,9.1,FALSE,TRUE,18.58111,0.185811144,29.00,0.29,13.4833,0.134832601,3.4,0.034081463
McMinn County,18964,46577,0.407153745,0.194846645,0.085715547,2,53794,5.6,21.2,19.9,51.3,12.7,15.9,FALSE,FALSE,23.76584,0.237658359,33.70,0.34,13.3442,0.133441919,4.1,0.040846868
McNairy County,22380,42900,0.521678322,0.230697244,0.14792788,0,25694,5.3,21.6,21.2,51,13,17.4,TRUE,FALSE,25.21617,0.25216174,30.30,0.30,12.6026,0.126025671,5.4,0.053910582
